"","MSA","data.Population.25.64","data.Percent.College.Grad","data.Top.Science.Grad.Programs","data.Top.Science.Undergraduates","data.Patents.per.Worker","data.Average.House.Price","data.Violent.Crimes.per.Capita","data.Commute.Less.than.30.min","Longitude","Latitude","Year","MSA code","closest MSA in hours","Total Population","Working Age Population","Percent College Grad","Top 20 Grad Programs","Ugrads to Top 20 per Year","House Price","% Commute < 30 minutes","Viol Crime per 1000","Patent /1000 work","Kauffman","Site selection","Total Sq Feet","Underused Sq Feet","acres land","Top 50 Grad programs","govt at univ R&D per capita"
"18","Bloomington/Champaign-Urbana, IL",73,2,3,4,19,24,22,6,-88.20727,40.11059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Bloomington/Columbus, IN",97,13,12,23,10,51,11,10,-86.046816,38.880293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Boise City, ID",46,43,91,81,4,88,14,47,-116.354524,43.64003,2016,14260,"nothing","690214","355050","0.31","0","5.6","240739","0.73","2.212357283","1.798830271",0,"0",4750517,"0","1038","0","1"
"21","Buffalo-Cheektowaga-Niagara Falls, NY",24,41,36,36,53,20,69,38,-76.496624,42.452813,2016,15380,"nothing","1132804","599076","0.32","2","25.3","171693","0.74","4.328727722","0.296772271",0,"0",3155323,"0","835","11","638"
"22","Cedar Rapids/Iowa City, IA",70,8,29,24,15,65,12,17,-91.516902,41.666427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Charlotte-Concord-Gastonia, NC-SC",7,24,58,43,62,93,59,94,-81.1873,35.26208,2016,16740,"","2474314","1340349","0.34","0","22.1","251947","0.59","3.732384443","0.261365473",1,"0",2542361,"3000","330","2","30"
"24","Chattanooga, TN-GA",55,97,74,86,91,41,95,71,-85.206426,35.017818,2016,16860,"1.75 to huntsville","551200","292076","0.26","0","4.1","190005","0.68","5.869012833","0.10460443",0,"0",1009844,"289019","2928","0","1"
"25","Cincinnati, OH-KY-IN",13,33,62,26,22,56,26,80,-84.53822,39.166759,2016,17140,"1.5 to lexington, ky;","2161441","1134241","0.33","0","37.3","205151","0.65","2.585971117","0.523624539",1,"1",5129487,"85478","1138","7","408"
"26","Clarksville/Nashville-Davidson--Murfreesboro--Franklin, TN-KY",12,35,25,27,84,102,92,98,-86.839847,36.207411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Cleveland-Elyria, OH",16,53,18,10,25,33,49,83,-81.596226,41.547929,2016,17460,"","2055612","1076766","0.30","5","78.5","182174","0.64","3.320599079","0.463887006",1,"0",5609452,"163947","358","18","474"
"28","College Station-Bryan, TX",98,21,9,15,50,67,32,3,-96.341465,30.623317,2016,17780,"1.5 to waco; 1.75 to houston","254716","113895","0.35","13","61.9","216364","0.86","2.759936571","0.420909047",0,"0",216417,"2444","457","30","7022"
