,msa,college_app,house_app,comm_app,crime_app,ugrad_app,grad_app,pop2564_app,patent_app,grad_rank,ugrad_rank,crime_rank,house_rank,comm_rank,college_rank,patent_rank,pop2564_rank,raw_rank,overall_rank,Longitude,Latitude
97,"Lynchburg, VA",0.26593101,197671.6719,0.702146471,2.311561346,46,0,125505,0.000196448,46,84,19,49,62,91,72,94,70.19444444,97,-79.141653,37.359607
98,"Johnson City, TN",0.255198032,175631.875,0.718970537,2.903481722,35,0,102176,0.000169576,46,89,36,23,54,100,75,101,72.05555556,98,-82.317625,36.330485
99,"Savannah, GA",0.309868842,237972.2656,0.640579045,3.357900858,19,0,201613,9.72E-05,46,98,50,85,84,45,95,74,72.66666667,99,-81.088261,32.074679
100,"Tuscaloosa, AL",0.277184069,188363.7188,0.723780513,3.609929085,84,0,119045,7.31E-05,46,70,57,39,51,78,98,96,72.66666667,99,-87.569174,33.209841
101,"Warner Robins, GA",0.268495649,152740.3125,0.731354713,3.288485527,13,0,100601,4.30E-05,46,99,48,4,44,90,102,102,72.75,101,-83.653003,32.580403
102,"Atlantic City-Hammonton, NJ",0.276168942,255089.6563,0.72029537,3.922639608,37,0,140853,6.16E-05,46,87,64,97,52,80,101,90,79.83333333,102,-74.47876,39.375851
,AK,,,,,,,,,,,,,,,,,,,-154.493062,63.588753
,AL,,,,,,,,,,,,,,,,,,,-86.902298,32.318231
,AR,,,,,,,,,,,,,,,,,,,-91.831833,35.20105
,AZ,,,,,,,,,,,,,,,,,,,-111.093731,34.048928
,CA,,,,,,,,,,,,,,,,,,,-119.417932,36.778261
,CO,,,,,,,,,,,,,,,,,,,-105.782067,39.550051
,CT,,,,,,,,,,,,,,,,,,,-72.5,40
,DC,,,,,,,,,,,,,,,,,,,-74,35
,DE,,,,,,,,,,,,,,,,,,,-72,38.5
,FL,,,,,,,,,,,,,,,,,,,-81.515754,27.664827
,GA,,,,,,,,,,,,,,,,,,,-82.907123,32.157435
,HI,,,,,,,,,,,,,,,,,,,-155.665857,19.898682
,IA,,,,,,,,,,,,,,,,,,,-93.097702,42
,ID,,,,,,,,,,,,,,,,,,,-114.742041,44.068202
,IL,,,,,,,,,,,,,,,,,,,-89,41
,IN,,,,,,,,,,,,,,,,,,,-85.602364,40.551217
,KS,,,,,,,,,,,,,,,,,,,-98.484246,39.011902
,KY,,,,,,,,,,,,,,,,,,,-86.5,37.3
,LA,,,,,,,,,,,,,,,,,,,-92.145024,31.244823
,MA,,,,,,,,,,,,,,,,,,,-68.5,43
,MD,,,,,,,,,,,,,,,,,,,-72.5,37
,ME,,,,,,,,,,,,,,,,,,,-69.445469,45.253783
,MI,,,,,,,,,,,,,,,,,,,-85.602364,44.314844
,MN,,,,,,,,,,,,,,,,,,,-94.6859,46.729553
,MO,,,,,,,,,,,,,,,,,,,-91.831833,37.964253
,MS,,,,,,,,,,,,,,,,,,,-89.398528,33.5
,MT,,,,,,,,,,,,,,,,,,,-110.362566,46.879682
,NC,,,,,,,,,,,,,,,,,,,-79.0193,35.759573
,ND,,,,,,,,,,,,,,,,,,,-101.002012,47.551493
,NE,,,,,,,,,,,,,,,,,,,-99.901813,41.492537
,NH,,,,,,,,,,,,,,,,,,,-71.572395,43.193852
,NJ,,,,,,,,,,,,,,,,,,,-74.405661,40.058324
,NM,,,,,,,,,,,,,,,,,,,-105.032363,34.97273
,NV,,,,,,,,,,,,,,,,,,,-116.419389,38.80261
,NY,,,,,,,,,,,,,,,,,,,-74.217933,43.299428
,OH,,,,,,,,,,,,,,,,,,,-82.907123,40.8
,OK,,,,,,,,,,,,,,,,,,,-97.092877,35.007752
,OR,,,,,,,,,,,,,,,,,,,-120.554201,43.804133
,PA,,,,,,,,,,,,,,,,,,,-77.194525,41.203322
,PR,,,,,,,,,,,,,,,,,,,-66.590149,18.220833
,RI,,,,,,,,,,,,,,,,,,,-69,40
,SC,,,,,,,,,,,,,,,,,,,-80,33.836081
,SD,,,,,,,,,,,,,,,,,,,-99.901813,43.969515
,TN,,,,,,,,,,,,,,,,,,,-86.580447,35.517491
,TX,,,,,,,,,,,,,,,,,,,-99.901813,31.968599
,UT,,,,,,,,,,,,,,,,,,,-111.093731,39.32098
,VA,,,,,,,,,,,,,,,,,,,-78.656894,38
,VT,,,,,,,,,,,,,,,,,,,-72.577841,44.558803
,WA,,,,,,,,,,,,,,,,,,,-120.740139,47.751074
,WI,,,,,,,,,,,,,,,,,,,-88.787868,43.78444
,WV,,,,,,,,,,,,,,,,,,,-80.454903,38.597626
,WY,,,,,,,,,,,,,,,,,,,-107.290284,43.075968
