,MSA,Total Population,population,collegegrad,sciencegrad,scienceugrad,houseprice,commute,violentcrime,patents,Kauffman,Site selection,Total Sq Feet,Underused Sq Feet,acres land,Top 50 Grad programs,govt at univ R&D per capita,Longitude,Latitude
97,"Des Moines-West Des Moines, IA",634725,337922,0.37,0,7,211457,0.79,3.09582901,0.561880827,0,1,2793410,3780,2480,0,5,-93.616791,41.590669
98,"Detroit-Warren-Dearborn, MI",4297617,2297435,0.3,0,13,197168,0.59,5.329926491,0.831779838,1,0,10226916,0,3652,3,145,-83.17631,42.32226
99,"Dothan, AL",147834,75854,0.18,0,0.1,158346,0.71,3.267856121,0.045887634,0,0,41039,0,0,0,0,-85.371845,31.148124
100,"Dover, DE",174827,87783,0.23,0,1.5,220572,0.64,4.148863316,0.082351856,0,0,3886949,0,3232,0,197,-75.49549,39.156376
101,"Dubuque, IA",97003,48511,0.29,0,4.1,192339,0.9,1.762832046,0.409580976,0,0,5678,0,0,0,0,-90.6963,42.545412
102,"Duluth, MN-WI",279227,141882,0.25,0,9.5,178028,0.77,2.238322258,0.123732172,0,0,893731,3305,1079,0,40,-92.001934,47.005566
103,"Durham-Chapel Hill, NC",559535,298782,0.47,30,128,266222,0.67,4.13700676,1.30733943,0,0,2330131,5586,401,62,3844,-79.05584,35.9132
104,"East Stroudsburg, PA",166098,86399,0.26,0,2.4,178574,0.5,,0.116078444,0,0,NA,,,0,1,-75.18129,40.99954
105,"Eau Claire, WI",166614,82218,0.26,0,7.5,192010,0.8,1.308413506,0.343392551,0,0,70120,0,0,0,18,-91.473097,44.75653
106,"El Centro, CA",180883,86288,0.14,0,0,188235,0.79,3.223078012,0.019527324,0,0,1520562,6542,14200,0,0,-115.598602,32.770275
107,"Elizabethtown-Fort Knox, KY",150447,79163,0.22,0,0,178989,0.69,1.415781021,0.056045163,0,0,14962,0,56,0,0,-85.857214,37.696304
108,"Elkhart-Goshen, IN",203781,101488,0.19,0,2.1,149539,0.79,3.533204794,0.307709485,0,0,1766,0,0,0,0,-85.901962,41.623463
109,"Elmira, NY",86322,44573,0.27,0,0.9,137898,0.79,1.911447883,1.124622941,0,0,22524,0,5,0,0,-76.71857,42.082585
110,"El Paso, TX",842114,412482,0.22,0,5.6,142978,0.7,3.632524729,0.051212586,0,0,26585094,0,358682,0,199,-106.484592,31.763608
111,"Enid, OK",62603,31071,0.22,0,0,134969,0.87,,0.037492905,0,0,NA,,,0,0,-97.843091,36.402681
112,"Erie, PA",276207,142947,0.28,0,8.6,163503,0.8,2.309861898,0.330098778,0,0,469645,0,20,0,9,-80.088919,42.121293
113,"Eugene, OR",369519,185066,0.29,0,22.3,261652,0.8,2.247885466,0.276688963,0,0,699244,13105,532,7,529,-123.080181,44.067988
114,"Evansville, IN-KY",315948,164439,0.25,0,4.5,161322,0.75,3.016319036,0.281217277,0,0,86800,1429,0,0,1,-87.574963,37.997128
115,"Fargo, ND-MN",238124,120606,0.39,0,13.5,230780,0.88,2.423107386,0.440714866,0,0,1283522,4246,418,1,1026,-96.834703,46.927094
116,"Farmington, NM",115079,58367,0.17,0,0,171184,0.66,5.822087288,0.098848812,0,0,1088968,86638,158280,0,0,-108.178691,36.740321
117,"Fayetteville, NC",380389,195699,0.24,0,1.1,160696,0.72,4.606081963,0.057493314,0,0,35906840,1326,177892,0,15,-79.017082,35.171548
118,"Fayetteville-Springdale-Rogers, AR-MO",527153,265130,0.31,0,11.2,205268,0.76,2.587484121,0.157551602,0,0,847538,0,104,0,491,-94.233876,36.042826
119,"Flagstaff, AZ",140908,65219,0.35,0,9.5,289066,0.83,3.392284393,0.471931815,0,0,6304717,69530,36460,0,421,-111.639303,35.287661
120,"Flint, MI",408615,211429,0.2,0,4.1,144033,0.66,6.608354568,0.349057704,0,0,233181,0,21,0,32,-83.780835,42.965926
121,"Florence, SC",205976,105381,0.21,0,0.4,134172,0.71,5.275379181,0.211265251,0,0,206707,2880,77,0,3,-79.82626,34.205933
122,"Florence-Muscle Shoals, AL",146534,74081,0.21,0,0.8,156166,0.65,3.426198244,0.079895705,0,1,365940,237245,17,0,0,-87.664825,34.809728
123,"Fond du Lac, WI",102144,53323,0.24,0,2.4,203276,0.75,1.997180462,0.34897241,0,0,6439,0,0,0,0,-88.436782,43.77366
124,"Fort Collins, CO",339993,171892,0.47,3,32.8,363307,0.74,1.794742823,1.358427525,0,0,1623390,2666,111,9,1955,-105.127416,40.594597
125,"Fort Smith, AR-OK",281227,144688,0.15,0,0.2,151454,0.74,4.288350582,0.066489458,0,0,2483954,0,65402,0,0,-94.416458,35.366188
