year,msa code,msa name,closest MSA in hours,Total,working age,Percent,Top 20 grad,Ugrads to top,House,% Commute,Viol Crime,Patent/,Kauffman,Site ,total sq feet,underused,acres,,Top 50 grad,gov't at Univ
,,,,population,population,College grad,programs,20 /year,Price,<30 minutes,Per 1000,1000 work,,Selection,,square feet,land,,programs,R&D per cap
2016,12260,"Augusta-Richmond County, GA-SC","1.5 to columbia, SC",595147,311473,0.25,0,2.6,189178,0.67,2.814430714,0.11566136,0,0,11970862,135079,55776,,0,301
2016,12420,"Austin-Round Rock, TX",,2056405,1154832,0.43,21,103.9,336373,0.59,2.736328602,1.500570893,1,0,3692937,0,7199,,37,1344
2016,12540,"Bakersfield, CA",,884788,441292,0.16,0,2.2,235983,0.75,5.046406746,0.111407891,0,0,5397865,18326,88217,,0,8
2016,12580,"Baltimore-Columbia-Towson, MD",,2798886,1515495,0.39,19,103.9,345859,0.52,5.918133736,0.315720171,1,0,44079348,1567837,84452,,38,1905
2016,12620,"Bangor, ME",1.5 to lewiston,151806,80876,0.25,0,9.5,165141,0.74,0.777307868,0.142092615,0,0,856025,0,4143,,0,1424
2016,12700,"Barnstable Town, MA",,214276,102364,0.43,0,0.3,474671,0.76,4.335529804,0.225040525,0,0,2685331,87598,18309,,0,1762
2016,12940,"Baton Rouge, LA",1.75 to laffayette; 1.75 to NO,835175,433689,0.27,3,22.1,209586,0.64,5.066962242,0.109516859,0,1,562423,31620,535,,13,1009
2016,12980,"Battle Creek, MI",0.5 to kalamazoo; 1 to lansing; 1.25 to grand rapids,134386,67399,0.20,0,6.2,132504,0.80,5.499084949,0.224313915,0,0,1799159,156553,532,,0,3
2016,13020,"Bay City, MI",<0.5 to saginaw; <.5 to midland,104747,55058,0.18,0,0.0,126378,0.72,2.892684221,0.226102829,0,0,59879,0,0,,0,15
2016,13140,"Beaumont-Port Arthur, TX",,409901,212886,0.17,0,1.3,135086,0.72,4.915821075,0.066683941,0,0,428032,21051,1240,,0,31
2016,13220,"Beckley, WV",,120924,62921,0.18,0,0.5,133120,0.66,,0.074091166,0,0,,,,,0,0
2016,13380,"Bellingham, WA",none,216800,106846,0.33,0,11.6,349596,0.75,1.81273067,0.312557429,0,0,101796,5685,62,,0,98
2016,13460,"Bend-Redmond, OR",none,181307,96144,0.33,0,0.0,387573,0.80,1.69326055,0.401572645,0,0,126143,0,76,,0,0
2016,13740,"Billings, MT",none,169736,88190,0.32,0,0.9,238648,0.88,3.22265172,0.058018249,0,0,112485,0,15,,0,6
2016,13780,"Binghamton, NY",none,244094,120079,0.29,0,17.3,137577,0.81,2.628085852,0.517841458,0,0,102624,0,4,,3,570
2016,13820,"Birmingham-Hoover, AL",none,1147417,606349,0.30,2,12.5,200532,0.61,5.408571243,0.091721557,0,0,2726514,0,159,,8,938
2016,13900,"Bismarck, ND",none,131547,69421,0.30,0,0.4,256499,0.83,2.272951841,0.042891361,0,0,678445,10003,2266,,0,3
2016,13980,"Blacksburg-Christiansburg-Radford, VA",0.75 to roanoke,183411,85589,0.35,11,62.6,214841,0.76,1.907657385,0.648949087,0,0,3640052,0,6812,,21,5
2016,14010,"Bloomington, IL",1 to champaign; 0.75 to peoria; 1 to decatur; 1.25 to springfield,187326,93002,0.42,0,16.3,181663,0.82,,0.238394484,0,0,,,,,0,63
2016,14020,"Bloomington, IN",1 to Indy,166336,76362,0.39,10,43.5,187254,0.81,2.469809294,0.87355423,0,0,7445,0,0,,23,6037
2016,14100,"Bloomsburg-Berwick, PA",1.25 to scranton; 1.5 to allentown,84763,41352,0.24,0,2.5,173900,0.74,,0.09806376,0,0,,,,,0,6
2016,14260,"Boise City, ID",nothing,690214,355050,0.31,0,5.6,240739,0.73,2.212357283,1.798830271,0,0,4750517,0,1038,,0,1
2016,14460,"Boston-Cambridge-Newton, MA-NH",,4794447,2614584,0.47,70,474.0,497024,0.50,3.220435619,1.234612346,1,0,16951470,268100.5625,3700,,107,1011
2016,14500,"Boulder, CO",,322226,167704,0.61,12,48.3,577208,0.72,1.917908549,2.900005102,0,0,833391,2592,2001,,19,4538
2016,14540,"Bowling Green, KY",2 to louisville; 1.25 to nashville,174560,85572,0.26,0,5.9,179739,0.73,1.71860683,0.116510935,0,1,184921,22094,0,,0,365
2016,14740,"Bremerton-Silverdale, WA",,264811,138981,0.32,0,0.0,342382,0.61,2.57542181,0.438639879,0,0,14506894,0,19353,,0,0
2016,14860,"Bridgeport-Stamford-Norwalk, CT",,944177,499693,0.47,0,8.9,665378,0.61,2.414801359,0.788607061,0,0,1940080,0,363,,0,0
2016,15180,"Brownsville-Harlingen, TX",nothing,422135,190480,0.17,0,0.5,108073,0.75,2.593956947,0.029606612,0,0,616676,3140,546,,0,0
